OX457036.1_t_gene1_mRNA1	OX457036.1_48527-57342
OX457036.1_t_gene2_mRNA2	OX457036.1_80401-89216
OX457036.1_t_gene3_mRNA3	OX457036.1_102144-115856
OX457036.1_t_gene4_mRNA4	OX457036.1_138781-147529
OX457036.1_t_gene5_mRNA5	OX457036.1_161655-167728
OX457036.1_t_gene6_mRNA6	OX457036.1_180282-185623
OX457036.1_t_gene7_mRNA7	OX457036.1_225887-235418
OX457036.1_t_gene8_mRNA8	OX457036.1_321850-327440
OX457036.1_t_gene9_mRNA9	OX457036.1_345964-351295
OX457036.1_t_gene10_mRNA10	OX457036.1_389861-394620
OX457036.1_t_gene11_mRNA11	OX457036.1_394621-399360
OX457036.1_t_gene12_mRNA12	OX457036.1_411769-417637
OX457036.1_t_gene13_mRNA13	OX457036.1_418604-428585
OX457036.1_t_gene14_mRNA21	OX457036.1_428586-437296
OX457036.1_t_gene15_mRNA22	OX457036.1_468333-473965
OX457036.1_t_gene16_mRNA23	OX457036.1_488481-495418
OX457036.1_t_gene17_mRNA24	OX457036.1_495419-499978
OX457036.1_t_gene18_mRNA25	OX457036.1_549522-554402
OX457036.1_t_gene19_mRNA26	OX457036.1_554403-556498
OX457036.1_t_gene20_mRNA27	OX457036.1_556499-560607
OX457036.1_t_gene21_mRNA28	OX457036.1_611648-617595
OX457036.1_t_gene22_mRNA29	OX457036.1_663171-670404
OX457036.1_t_gene23_mRNA30	OX457036.1_670405-674638
OX457036.1_t_gene24_mRNA31	OX457036.1_695092-703303
OX457036.1_t_gene25_mRNA32	OX457036.1_793349-799539
OX457036.1_t_gene26_mRNA33	OX457036.1_804157-809505
OX457036.1_t_gene27_mRNA34	OX457036.1_809506-813765
OX457036.1_t_gene28_mRNA35	OX457036.1_828087-833443
OX457036.1_t_gene29_mRNA36	OX457036.1_863640-868957
OX457036.1_t_gene30_mRNA37	OX457036.1_891313-896585
OX457036.1_t_gene31_mRNA38	OX457036.1_939570-946624
OX457036.1_t_gene32_mRNA39	OX457036.1_953106-959647
OX457036.1_t_gene33_mRNA40	OX457036.1_989509-995659
OX457036.1_t_gene34_mRNA41	OX457036.1_995660-1003555
OX457036.1_t_gene35_mRNA42	OX457036.1_1102542-1107738
OX457036.1_t_gene36_mRNA45	OX457036.1_1107739-1111598
OX457036.1_t_gene37_mRNA46	OX457036.1_1227964-1235673
OX457036.1_t_gene38_mRNA47	OX457036.1_1256627-1263060
OX457036.1_t_gene39_mRNA48	OX457036.1_1289512-1293680
OX457036.1_t_gene40_mRNA49	OX457036.1_1293681-1297861
OX457036.1_t_gene41_mRNA50	OX457036.1_1302181-1307336
OX457036.1_t_gene42_mRNA51	OX457036.1_1307337-1313636
OX457036.1_t_gene43_mRNA52	OX457036.1_1313637-1319616
OX457036.1_t_gene44_mRNA53	OX457036.1_1321631-1327623
OX457036.1_t_gene45_mRNA54	OX457036.1_1339464-1345234
